student_id,course_code,pref_score
S001,C01,3
S001,C02,3
S001,C03,3
S001,C04,3
S001,C05,3
S001,C06,3
S001,C07,3
S001,C08,3
S001,C09,3
S001,C10,3
S001,C11,3
S001,C12,3
S001,C13,3
S001,C14,3
S001,C15,3
S001,C16,3
S001,C17,3
S001,C18,3
S001,C19,3
S002,C01,3
S002,C02,3
S002,C03,3
S002,C04,3
S002,C05,3
S002,C06,3
S002,C07,3
S002,C08,3
S002,C09,3
S002,C10,3
S002,C11,3
S002,C12,3
S002,C13,3
S002,C14,3
S002,C15,3
S002,C16,3
S002,C17,3
S002,C18,3
S002,C19,3
S003,C01,3
S003,C02,3
S003,C03,3
S003,C04,3
S003,C05,3
S003,C06,3
S003,C07,3
S003,C08,3
S003,C09,3
S003,C10,3
S003,C11,3
S003,C12,3
S003,C13,3
S003,C14,3
S003,C15,3
S003,C16,3
S003,C17,3
S003,C18,3
S003,C19,3
S004,C01,3
S004,C02,3
S004,C03,3
S004,C04,3
S004,C05,3
S004,C06,3
S004,C07,3
S004,C08,3
S004,C09,3
S004,C10,3
S004,C11,3
S004,C12,3
S004,C13,3
S004,C14,3
S004,C15,3
S004,C16,3
S004,C17,3
S004,C18,3
S004,C19,3
S005,C01,3
S005,C02,3
S005,C03,3
S005,C04,3
S005,C05,3
S005,C06,3
S005,C07,3
S005,C08,3
S005,C09,3
S005,C10,3
S005,C11,3
S005,C12,3
S005,C13,3
S005,C14,3
S005,C15,3
S005,C16,3
S005,C17,3
S005,C18,3
S005,C19,3
S006,C01,3
S006,C02,3
S006,C03,3
S006,C04,3
S006,C05,3
S006,C06,3
S006,C07,3
S006,C08,3
S006,C09,3
S006,C10,3
S006,C11,3
S006,C12,3
S006,C13,3
S006,C14,3
S006,C15,3
S006,C16,3
S006,C17,3
S006,C18,3
S006,C19,3
S007,C01,3
S007,C02,3
S007,C03,3
S007,C04,3
S007,C05,3
S007,C06,3
S007,C07,3
S007,C08,3
S007,C09,3
S007,C10,3
S007,C11,3
S007,C12,3
S007,C13,3
S007,C14,3
S007,C15,3
S007,C16,3
S007,C17,3
S007,C18,3
S007,C19,3
S008,C01,3
S008,C02,3
S008,C03,3
S008,C04,3
S008,C05,3
S008,C06,3
S008,C07,3
S008,C08,3
S008,C09,3
S008,C10,3
S008,C11,3
S008,C12,3
S008,C13,3
S008,C14,3
S008,C15,3
S008,C16,3
S008,C17,3
S008,C18,3
S008,C19,3
S009,C01,3
S009,C02,3
S009,C03,3
S009,C04,3
S009,C05,3
S009,C06,3
S009,C07,3
S009,C08,3
S009,C09,3
S009,C10,3
S009,C11,3
S009,C12,3
S009,C13,3
S009,C14,3
S009,C15,3
S009,C16,3
S009,C17,3
S009,C18,3
S009,C19,3
S010,C01,3
S010,C02,3
S010,C03,3
S010,C04,3
S010,C05,3
S010,C06,3
S010,C07,3
S010,C08,3
S010,C09,3
S010,C10,3
S010,C11,3
S010,C12,3
S010,C13,3
S010,C14,3
S010,C15,3
S010,C16,3
S010,C17,3
S010,C18,3
S010,C19,3
S011,C01,-99
S011,C02,-99
S011,C03,-99
S011,C04,-99
S011,C05,-99
S011,C06,-99
S011,C07,-99
S011,C08,1
S011,C09,2
S011,C10,3
S011,C11,-99
S011,C12,-99
S011,C13,-99
S011,C14,-99
S011,C15,-99
S011,C16,-99
S011,C17,-99
S011,C18,-99
S011,C19,-99
S012,C01,-99
S012,C02,-99
S012,C03,-99
S012,C04,-99
S012,C05,-99
S012,C06,-99
S012,C07,-99
S012,C08,1
S012,C09,3
S012,C10,2
S012,C11,-99
S012,C12,-99
S012,C13,-99
S012,C14,-99
S012,C15,-99
S012,C16,-99
S012,C17,-99
S012,C18,-99
S012,C19,-99
S013,C01,-99
S013,C02,-99
S013,C03,-99
S013,C04,-99
S013,C05,-99
S013,C06,-99
S013,C07,-99
S013,C08,3
S013,C09,2
S013,C10,-99
S013,C11,1
S013,C12,-99
S013,C13,-99
S013,C14,-99
S013,C15,-99
S013,C16,-99
S013,C17,-99
S013,C18,-99
S013,C19,-99
S014,C01,-99
S014,C02,-99
S014,C03,-99
S014,C04,-99
S014,C05,-99
S014,C06,-99
S014,C07,-99
S014,C08,1
S014,C09,-99
S014,C10,2
S014,C11,3
S014,C12,-99
S014,C13,-99
S014,C14,-99
S014,C15,-99
S014,C16,-99
S014,C17,-99
S014,C18,-99
S014,C19,-99
S015,C01,3
S015,C02,3
S015,C03,3
S015,C04,3
S015,C05,3
S015,C06,3
S015,C07,3
S015,C08,3
S015,C09,3
S015,C10,3
S015,C11,3
S015,C12,3
S015,C13,3
S015,C14,3
S015,C15,3
S015,C16,3
S015,C17,3
S015,C18,3
S015,C19,3
S016,C01,3
S016,C02,3
S016,C03,3
S016,C04,3
S016,C05,3
S016,C06,3
S016,C07,3
S016,C08,3
S016,C09,3
S016,C10,3
